Course #,Class Title
Data 8,Foundations of Data Science
Civeng 88,Data Science for Smart Cities
Demog 88,Data Science & Immigration
L&S 88-1,Social Networks
L&S 88-2,Web Data Visualization
L&S 88-3,Data Science for Cognitive Neuroscience
L&S 88-4,Behind the Curtain in Economic Development
L&S 88-5,Rediscovering Texts as Data
Stat 88,Probability and Mathematical Statistics in Data Science
Data 100,Principles and Techniques of Data Science
